Training Datameasurements_train,,,,,,,,,,,,,
,Index,Hours,Julian_day,Week_day,T_°C,SR_W/m2,p_mb,Prec_mm,RH_%,WD_°,WS_m/s,,
min,1,0,1,0,7.26,0,718.36,0,16.18,0,0.03,,
max,35061,23,366,6,22.4,1165.51,729.93,30.7,99.58,359.98,4.88,,
avg,17481.8931,12.23655172,182.8744828,3,14.27721151,162.7259217,725.0142046,0.200325953,68.02682573,164.5839504,1.555251085,,
std,10111.93573,6.466132895,105.3714374,1.996893068,2.638538619,245.6826169,2.134353239,1.287608563,17.27281108,89.97572623,0.82395631,,
,,,,,,,,,,,,,
Testing Datameasurements_test,,,,,,,,,,,,,
,Index,Hours,Julian_day,Week_day,T_°C,SR_W/m2,p_mb,Prec_mm,RH_%,WD_°,WS_m/s,,
min,35066,0,1,0,8.03,0,721.05,0,21.76,0.12,0.08,,
max,43823,23,365,6,22.73,1088.79,730.75,8.2,98.98,359.99,4.62,,
avg,39445.40411,12.40410959,183,2.991780822,14.00512334,172.200725,726.1058537,0.11089618,68.08527871,159.3036604,1.274803138,,
std,2530.779499,6.594650914,105.4382714,2.004778477,2.536090966,252.9039281,1.305672779,0.62093403,16.66561825,94.84376987,0.763751933,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Training Datameasurements_train,,,,,,,,,,,,,
,Temperature,SR,p,Prec,RH,WD,WS,,,,,,
min,7.26,0,718.36,0,16.18,0,0.03,,,,,,
max,22.4,1165.51,729.93,30.7,99.58,359.98,4.88,,,,,,
avg,14.27721151,162.7259217,725.0142046,0.200325953,68.02682573,164.5839504,1.555251085,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Testing Datameasurements_test,,,,,,,,,,,,,
,Temperature,SR,p,Prec,RH,WD,WS,,,,,,
min,8.03,0,721.05,0,21.76,0.12,0.08,,,,,,
max,22.73,1088.79,730.75,8.2,98.98,359.99,4.62,,,,,,
avg,14.00512334,172.200725,726.1058537,0.11089618,68.08527871,159.3036604,1.274803138,,,,,,
